NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-10-03;Altres;N/A;--;2;1;0;0;0;55;14;0;0;2;0;0;1;0;12;8
CATALUNYA;GLOBAL;2021-10-03;Dona;0 a 9;No;6;47;81;0;0;2;0;0;3;3;3;1;43;76;0;0
CATALUNYA;GLOBAL;2021-10-03;Dona;0 a 9;Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-10-03;Dona;10 a 19;No;5;46;153;0;0;0;0;0;2;3;3;2;40;137;53;73
CATALUNYA;GLOBAL;2021-10-03;Dona;10 a 19;Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-10-03;Dona;20 a 29;No;4;70;85;0;0;7;0;0;2;2;2;0;56;66;59;49
CATALUNYA;GLOBAL;2021-10-03;Dona;20 a 29;Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-10-03;Dona;30 a 39;No;8;104;101;0;0;7;3;0;2;6;2;4;86;90;51;46
CATALUNYA;GLOBAL;2021-10-03;Dona;30 a 39;Si;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
